الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة  بالريال السعودي
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار تكييف لمحطات التحلية بالجبيل  60009220,2023-06-07,185035.0
الشئون الصحية بمنطقة نجران,منافسة تأمين بنود غير طبية لمستشفى نجران العام البلد ,2023-04-27,2323312.9
وزارة البيئة والمياه والزراعة,تشغيل وصيانة ونظافة سدود منطقة الحدود الشمالية,2023-06-07,7935000.0
بنك التنمية الاجتماعية,نقل بيانات الموارد المؤسسية,2023-04-04,759000.0
بلدية محافظة رنية,صيانة وتشغيل الطرق المستلمه من وزارة النقل عقد 309 بمحافظة رنيه لمدة 1095 يوم,2023-06-12,8224670.05
وزاة التجارة,عملية تأهيل وصيانة مبانى الوزارة فى المشاعر المقدسة,2023-05-02,240177.5
بلدية محافظة المجاردة,تأجير معدات عرجاء ,2023-03-27,244950.0
بلدية محافظة المجاردة,صيانة اللوحات الارشادية المرورية ,2023-03-27,299000.0
أمانة العاصمة المقدسة,تنفيذ لوحات إرشادية وتسمية الطرق بمكة المكرمة,2023-06-14,9269805.0
بلدية الشبحة,عمال صيانة ملعب شثاث بتوريد و تركيب عشب صناعي و إصلاح ارضية الملعب,2023-03-10,155250.0
وزاة التجارة,التأمين على مركبات الوزارة تأمين ضد الغير,2023-01-31,250125.0
المؤسسة العامة لتحلية المياه المالحة, صيانة أنظمة التكييف والتبريد بوحدة إنتاج المرحلة الثانية بمنظومة إنتاج الشعيبة,2023-03-16,997510.0
المؤسسة العامة لتحلية المياه المالحة,توريد أغشية التناضح العكسي لمنظومة إنتاج ضبا 60009144,2023-06-05,155250.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار ميكانيكية لمنظومة انتاج راس الخير Condensor Tubes 60009153,2023-06-29,154100.0
أمانة محافظة جدة,تنفيذ حلول لتصريف مياه الأمطار لمنطقة الحمدانية- 16986,2023-07-13,125893997.0
أمانة محافظة جدة,تنفيذ حلول لتصريف مياه الأمطار لطريق مكة القديم-17063,2023-07-09,475834752.5
الهيئة الملكية للجبيل وينبع - الإدارة العامة بالجبيل,نقل وتوريد الديزل لخزانات المولدات في مدينة الجبيل الصناعية,2023-04-12,285159.56
المؤسسة العامة لتحلية المياه المالحة,توريد مولد كهربائي لمحطات التحلية بالجبيل خط الأنابيب 60009021,2023-04-13,123050.0
المؤسسة العامة للتدريب التقني والمهني,صيانة ونظافة إدارة المراسم والعلاقات العامة والكلية التقنية للبنات بالرياض والكلية التقنية الرقمية ( التقنية الخاصة ) للبنات بحي صلاح الدين,2023-06-11,3919356.09
الهيئة العامة للمنافسة,مشروع تأثيث بعض مكاتب الهيئة العامة للمنافسة ,2023-03-21,181585.0
الهيئة العامة للترفيه,التشغيل والصيانة لنظم الاتصالات الصوتية والمرئية,2023-03-03,447350.0
المركز السعودى لكفاءة الطاقة,اعتماد برامج الجهات التدريبية في مجال كفاءة الطاقة,2023-06-05,2300000.0
المؤسسة العامة لتحلية المياه المالحة,تنظيف أحواض محطة معالجة الصرف الصحي من الوحل,2023-06-20,289500.0
إدارة التعليم بمنطقة الباحة,عملية تأهيل ابتدائية ومتوسطة بالعلاء (بنين),2023-07-05,2366685.0
بنك التنمية الاجتماعية,مشروع صيانة نظام الاتصال الهاتفي ونظام الفوترة ونظام تسجيل المكالمات,2023-05-31,1877001.0
بلدية الخبراء والسحابين,استئجار سيارات ,2023-02-13,631668.78
جامعة الملك خالد,تشغيل وتامين الحراسات الامنية بفرع جامعة الملك خالد بتهامة  ,2023-04-11,34460256.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار مستودعية لمستودع وحدة انتاج ضبا 60009207,2023-01-16,4648914.1
مدينة الملك فهد الطبية,مـنافسـة مشروع  تشغيل خدمة نظام حماية المواليد,2023-07-19,7128664.93
بنك التنمية الاجتماعية,مشروع البنية التحتية لخدمات المدفوعات الالكترونية,2023-05-16,3133750.09
جامعة الملك سعود,توريد قطع غيار لوحدات تكييف مركزية بمباني أرقام (1-2-26) بكلية الدراسات التطبيقية بعليشه,2023-04-02,960140.75
جامعة الملك سعود,عملية تأهيل مباني كلية السنة الأولى المشتركة بعليشة,2023-04-02,2285978.05
جامعة جدة, تأهيل وترميم مبنى (ب) بمقر التخصصات الإنسانية – الفيصلية بنين,2023-05-02,4805229.0
إدارة التعليم بمحافظة النماص,عملية تأثيث وتجهيز مسرح الإدارة الرئيسي,2023-05-21,604210.0
جامعة شقراء,منافسة توريد وتركيب نظام مكتب إدارة البنية المؤسسية وإدارة الإجراءات,2023-05-07,4192900.0
