الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة  بالريال السعودي
أمانة منطقة القصيم,مشروع صيانه أرصفه و شوارع شمال شرق مدينه بريده,2022-08-09,25398037.5
إدارة التعليم بمنطقة حائل,تأمين قطع غيار لمركبات الإدارة العامة للتعليم بمنطقة حائل ,2022-11-13,84949.35
بلدية عقلة الصقور,مشروع سفلتة وأرصفة وانارة للأمانة والبلديات والقرى التابعة لها (بلدية عقلة الصقور),2022-04-25,1595000.0
وزارة الاقتصاد والتخطيط  -  الديوان العام,تجديد اشتراكات المكتبة الاقتصادية الرقمية ,2022-06-22,624133.75
وزارة الموارد البشرية و التنمية الاجتماعية,مشروع توريد رخص تابلو و التريكس,2022-05-03,429042.0
الجامعة الإسلامية بالمدينة المنورة,تأمين طاولات رسم وكراسي لمعامل كلية الهندسة,2022-12-18,96600.0
وزارة الموارد البشرية و التنمية الاجتماعية,الصيانة والنظافة والعناية الشخصية لمراكز التأهيل الشامل ودور الرعاية بالمجموعة الثانية (الدمام/الاحساء/حفر الباطن),2022-11-21,152549706.02
الشئون الصحية بمحافظة جدة,توريد و تركيب و تشغيل معدات المطبخ و المغسلة لمستشفى الولادة و الاطفال التخصصي بجدة,2022-12-14,11299380.2
أمانة منطقة تبوك,توريد وتأمين مأطور رش دخان ضباب محمول علي السيارة ومأطور ومبيدات حشرية رذاذ محمول   ومبيدات حشرية وكياس نفايات ومكانس ناعم لبلدية محافظة البدع,2022-05-17,149362.0
إدارة التعليم بمحافظة عنيزة,توريد قطع غيار وسائط النقل لإدارة التعليم بمحافظة عنيزة,2022-05-26,125534.0
بلدية بحرأبو سكينة,توريد حاويات واكياس نفايات ,2022-06-06,675050.0
بلدية محافظة الخفجى,مشروع تطوير الواجهة البحرية والكورنيش بالخفجي,2022-05-24,620379.0
الهيئة السعودية للملكية الفكرية,تقديم خدمات النظافة والصيانة لمبنى الهيئة السعودية للملكية الفكرية,2022-06-09,11960000.0
بلدية الحرجة,توريد منظفات ومطهرات                              ,2022-07-17,34816.25
المديرية العامة للشؤون الصحية بالمنطقة الشرقية,تامين اعمال تبتير الاراضي و الرفع المساحي لموقع وزارة الصحة بالمنطقة الشرقية ,2022-09-01,644000.0
إدارة التعليم بمنطقة المدينة المنورة,تأمين أرواق رسمية وأظرف وأختام لادارة تعليم منطقة المدينة المنورة,2022-08-21,163127.5
مجلس شؤون الأسره,مشروع جائزة تالة المرأة,2022-06-11,1799462.5
أمانة منطقة تبوك,توريد بلك خرساني,2022-05-12,17940.0
أمانة منطقة تبوك,توريد اسمنت لبلدية الشبحة,2022-05-12,32200.0
أمانة منطقة الباحة,مشروع تأهيل وتطوير الشوارع والطرق والانارة ,2022-07-19,544358.25
أمانة منطقة الباحة,مشروع سفلتة وأرصفة انارة للأمانة والبلديات التابعة ( بلدية محافظة العقيق ),2022-07-19,1690020.45
بلدية البرك,اعمال صيانة وتركيب شبك لعمل سور بمبنى الحركة والصيانة بلدية محافظة البرك - عسير ,2022-08-08,153927.5
بلدية البرك,جدول اعمال صيانة وسفلته ساحة مبنى الحركة والصيانة بلدية محافظة البرك -  عسير,2022-04-28,233622.5
بلدية البرك,صيانة وتركيب مراوش لشاطي النهود بمحافظة البرك - عسير ,2022-06-16,147338.0
وزارة الاستثمار,رخص برامج المستخدمين,2022-05-19,791372.5
أمانة منطقة المدينة المنورة,تشغيل وصيانة شبكات الإنارة فى نطاق غرب المدينة المنورة,2022-06-08,19976420.0
وزارة الرياضة,توريد مراوح تهوية لأرضية الملعب الرئيسي في مدينة الملك عبدالله الرياضية بجدة,2022-09-26,704917.8
أمانة منطقة المدينة المنورة,تشغيل وصيانة شبكات الإنارة فى نطاق جنوب المدينة المنورة,2022-06-03,19652982.5
بنك التنمية الاجتماعية,مشروع تقديم الخدمات التقنية لتنفيذ آلية العمل لمنتجات الاعمال,2022-06-23,9183900.0
أمانة محافظة جدة,تنظيم المعارض والندوات والمؤتمرات في الداخل 16918,2022-10-22,6000000.0
مدينة الملك فهد الطبية,منافسة توريد وتركيب الستائر الطبية لمدينة الملك فهد الطبية,2023-01-02,5180750.0
الهيئة العامة للمنشآت الصغيرة والمتوسطة,إنشاء مركز الوثائق والمحفوظات,2022-08-11,1850005.0
بلدية بحرأبو سكينة,صيانة حدائق البلدية,2022-06-15,370231.0
بلدية محافظة بقيق,مشروع سفلتة وأرصفة وإنارة بمحافظة بقيق والهجر التابعة لها ــ بلدية محافظة بقيق ,2022-06-20,3259282.5
أمانة المنطقة الشرقية,مشروع استكمال جزء من شبكات تصريف مياه الأمطار وتخفيض منسوب المياه السطحية بحي ضاحية الملك فهد بالدمام لعام 2022م,2022-10-25,21258877.0
بلدية العرضية الجنوبية,صيانة مبنى بلدية العرضية الجنوبية ,2022-06-20,1639716.0
أمانة منطقة تبوك,سفلتة مخططات المنح/محافظة حقل,2022-08-25,5154012.5
بلدية محافظة بيشة,توريد ادوات النظافه ,2022-05-17,312295.73
أمانة منطقة الرياض,اعمال صيانة معدات قسم الحركة والتشغيل بالبلدية,2022-09-08,298425.0
المؤسسة العامة لتحلية المياه المالحة,تقديم خدمة الدعم الفني لصيانة نظام التحكم الشامل بالمرحلة الثالثة بمحطات تحلية ينبع المدينة المنورة,2023-02-01,6900000.0
جامعة القصيم,تأمين وتركيب أرفف الصيدلية بالمستشفى الجامعي,2022-06-27,537740.0
صندوق التنمية الزراعية,توريد وتركيب تقنية الشبكة المعرفة بالبرمجيات (SDN) في شبكة مركز البيانات,2022-05-08,3106155.75
إدارة التعليم بمحافظة الأحساء,تركيب وحدات التكييف المنفصله بنوعيها(الجداري - الدولابي) للمباني المدرسة بمحافظة الاحساء,2022-06-20,764945.5
بلدية محافظة قرية العليا, صيانة وتطوير طريق محمد بن فهد   بمحافظة قرية العليا ( مرحلة ثانية  ),2022-08-30,1173690.0
إدارة التعليم بمحافظة حفر الباطن,نظافة المباني الإدارية,2022-09-13,4380534.0
مستشفى الملك فيصل التخصصي ومركز الابحاث-جدة,توريد مسلتزمات المرضى من الكتان و البياضات و الملابس بمستشفى الملك فيصل التخصصي و مركز الأبحاث فرع جده ,2022-08-10,4237152.0
بلدية محافظة القطيف,مشروع صيانة لوحات التسمية والترقيم واللوحات الإرشادية بطرق وشوارع مدن وقرى محافظة القطيف 1443-1446هـ,2022-05-25,1302892.5
المؤسسة العامة لتحلية المياه المالحة, مشروع تقديم خدمات الدعم الفني طويل الأجل لتشغيل وصيانة التوربينات الغازية من الفترة 2023-2027 بمنظومة انتاج راس الخير  ,2023-03-28,711000000.0
مؤسسة البريد السعودي,التعاقد مع وكالة الفعاليات ,2022-08-02,2930200.0
جامعة الأميرة نورة بنت عبدالرحمن,مشروع تصميم وصناعة بنك الاختبارات والمقاييس لتقييم المهارات والقيم لدى الطالبات  بجامعة الاميرة نورة بنت عبد الرحمن ,2022-08-02,2000000.0
إدارة التعليم بمنطقة تبوك,تأمين احتياج مدارس منطقة تبوك من آلات التصوير,2022-05-26,241804.75
جامعة الملك خالد,تشغيل و صيانة مختبرات وأجهزة الجامعة للعلوم الطبية والتطبيقية والتعليمية بكليات جامعة الملك خالد,2022-11-02,29987860.0
الهيئة العامة للغذاء والدواء,الاشتراك في منصة الكترونية لدعم عملية التعلم الالكتروني واستقطاب وتوظيف الكفاءات ,2022-05-23,557861.28
أمانة العاصمة المقدسة,تأمين مواد ومبيدات زراعية وبيئية وبيطرية ومخبرية لمختبر السلامة الغذائية بأمانة العاصمة المقدسة,2022-09-21,1106044.55
إدارة التعليم بمنطقة المدينة المنورة,تأمين طاولات ومقاعد طلابية للمدارس ولرياض الأطفال بمنطقة المدينة المنورة,2022-09-21,730244.71
وزارة الرياضة,توريد وتركيب خزائن وتجهيزات مركز الوثائق والمحفوظات لوزارة الرياضة ,2022-06-05,734768.35
أمانة محافظة الأحساء,تحسين الرقابة البلدية بالشراكة بين القطاعين العام والخاص لتنفيذ أعمال الرقابة لصالح أمانة الأحساء,2022-09-09,51692500.0
المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,توريد وتركيب (93) لوحة إرشادية في غابات منطقة جازان,2022-04-19,470580.0
هيئة الزكاة والدخل,مناولة منفذ (  سلوى – الرقعي - الوديعة  ),2022-08-04,14950000.0
إدارة التعليم بمحافظة صبيا,عملية صيانة صيانة طارئة لخنادق الصرف لعدد من المدارس ,2022-09-18,653200.0
أمانة منطقة الباحة,سفلتة وأرصفة وإنارة للأمانة والبلديات التابعة (بلدية بني كبير),2022-07-18,998936.0
إدارة التعليم بمحافظة الغاط,بشأن عملية تنفيذ بعض وسائل السلامة ونظام الحريق لعدد من المدارس بإدارة التعليم بمحافظة الغاط ,2022-08-17,187220.0
أمانة منطقة القصيم,ناتج كسارة للطرق والميادين,2022-04-24,396000.0
بلدية قنا,صيانة وتوريد زيوت وبطاريات لمعدات واليات النظافة بلدية قنا,2022-08-07,78159.75
المركز الوطني للرقابه على الالتزام البيئي,عقد صيانة وتشغيل الانظمة البيئية ,2022-08-16,55882702.23
إدارة التعليم بمحافظة صبيا,عملية صيانة طارئة عمل درابزين لممرات لعد من المدارس بتعليم صبيا,2022-09-18,386400.0
المديرية العامة للشؤون الصحية بالمنطقة الشرقية,تامين مظلات لمواقف السيارات التابعة لمديرية الشؤون الصحية بالشرقية ,2022-07-18,545445.0
المؤسسة العامة للتدريب التقني والمهني,نظافة الكلية التقنية للبنات بجدة,2022-08-11,162010.85
جامعة القصيم,منافسة تنفيذ تعديلات غرفة الكهرباء الخارجية بالرس وكابل الجهد المتوسط العيادات,2022-08-18,281493.55
إدارة التعليم بمحافظة سراة عبيدة,مقايسة صيانة لوحات المدارس,2022-05-22,232875.0
هيئة الزكاة والدخل,مشروع تطوير الأنظمة الداخلية,2022-07-07,8400750.0
المؤسسة العامة لتحلية المياه المالحة,توفير رخص نظام تخزين سجلات دخول الجدران النارية ,2022-07-21,99187.5
وزارة النقل والخدمات اللوجستية-  الديوان العام,  استكمال طريق الفوهة العفراء البشاير بمنطقة عسير,2022-07-12,13343619.05
إدارة التعليم بمحافظة بيشة,توريد مستلزمات الصيانة لإدارة تعليم محافظة بيشة,2022-04-14,864997.8
إدارة التعليم بمحافظة بيشة,صيانة لوحات مسميات المباني المدرسية بتعليم محافظة بيشة,2022-05-23,276625.6
أمانة محافظة الطائف,دراسة تطوير اعمال العلاقات العامة والتواصل بأمانة الطائف,2022-09-28,5700780.0
إدارة التعليم بمحافظة بيشة,الصيانة الطارئة لمبني ابتدائية الفتح بترج لصالح ابتدائية ترج بنات,2022-05-27,380420.0
بلدية اللهابة,مشروع إنشاء حدائق  وممرات مشاة وساحات باللهابه ,2022-08-25,633937.5
بنك التنمية الاجتماعية,مشروع توريد وتركيب أجهزة تقنية المعلومات لفرع بنك التنمية الاجتماعية (جادة30) في الرياض,2022-05-15,1649998.15
وزاة التجارة,اختبار كفاءة الطاقة لمنتج الإنارة لمواصفة الجزء الاول,2022-06-19,206310.0
الهيئة العامة للمنشآت الصغيرة والمتوسطة, تسريع ريادة الأعمال في المناطق بالتعاون مع MIT,2022-05-26,1499945.0
بلدية محافظة خميس  مشيط,صيانة أعمدة الإضاءة                                          ,2022-06-07,3980711.2
أمانة منطقة القصيم,مشروع تشغيل النقل العام بالحافلات في مدينة بريدة ومحافظة عنيزة,2022-10-24,115000000.0
وزارة التعليم,مشروع البرنامج التأسيسي في الإرشاد الصحي للموظفين الإداريين في المدارس ,2022-09-21,2163046.95
المؤسسة العامة لتحلية المياه المالحة,القيام بتغيير الانابيب التالفة لعدد وحدة تحلية  (أعمال فك وتركيب) المرحلة الثانية بمنظومة إنتاج الشعيبة,2022-06-30,1100262.5
بلدية عسفان,مشروع التخلص من النفايات وردم المستنقعات و آليات التخلص من النفايات ( تأمين و توريد معدات وآليات للنظافة لبلدية عسفان ) ,2022-11-13,7704844.75
التجمع الصحي بمنطقة القصيم,تطوير إدارة الطوارئ والكوارث الصحية بمستشفى بريدة المركزي,2022-06-13,270830.75
المديرية العامة للشؤون الصحية بمنطقة الرياض,نقل النفايات الطبية الصادرة عن المنشآت الصحية التابعة لصحة الرياض ,2023-03-14,810743.15
وزارة الصحة  -  الديوان العام,منافسة إستئجار عدد ( 700 ) سيارة متنوعة لديوان الوزارة والجهات التابعة لها لمدة ثلاث سنوات,2022-07-31,69894916.2
المركز السعودى لكفاءة الطاقة,مشروع الإنتاج الإعلامي لحملة الوطنية لترشيد استهلاك الطاقة (حملة لتبقى) ,2022-06-02,7771021.55
جامعة المجمعة,توريد مستلزمات تعليمية لكلية التربية وكلية علوم الحاسب والمعلومات والسنة التحضيرية بالمجمعة وكلية طب الاسنان بالزلفي  ,2022-05-30,1712959.5
أمانة منطقة القصيم,أعمال مصنعية,2022-05-25,992800.0
وزارة البيئة والمياه والزراعة,استكمال ترميم الوحدة البيطرية ببريدة,2022-05-24,721545.65
إدارة التعليم بمحافظة شرورة,صيانة طارئة لدورات المياة لعدد من المدارس بشرورة,2022-10-12,287684.0
الهيئة العامة للإعلام المرئي والمسموع,حراسة المبنى الرئيسي لهيئة الإعلام المرئي والمسموع,2022-06-15,2152800.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بالجبيل,إحلال أجهزة التعليم الإلكتروني بمدارس الهيئة الملكية بالجبيل,2022-10-31,2927624.0
إدارة التعليم بمحافظة وادي الدواسر,صيانة وإعادة عزل سقف مبني المستودعات المركزية _ التابع لإدارة التعليم محافظة وادي الدواسر,2022-08-23,649865.0
المديرية العامة للشؤون الصحية بمنطقة الرياض,معالجة نفايات الرعاية الصحية الخطرة الصادرة عن المنشآت الصحية التابعة لصحة الرياض ,2023-02-01,540495.4
إدارة التعليم بمنطقة تبوك, تأمين مستلزمات صيانة المعامل والمختبرات والأجهزة والوسائل التعليمية لمدارس منطقة تبوك,2022-06-20,738686.4
جامعة الباحة,تامين كبائن عيادة اسنان مع التركيب  العدد 14لكلية طب الاسنان ,2022-06-29,210910.0
أمانة منطقة المدينة المنورة,مشروع صيانة شبكة تصريف مياه الامطار,2023-01-03,8385021.45
إدارة التعليم بمنطقة مكة المكرمة,تامين عمالة وسيارات لنقل وترحيل المقررات الدراسية والاجهزة والاثاث والرجيع من والى المباني التعليمية والادارية والمستودعات داخل وخارج مدينة مكة,2022-04-06,409170.0
وكالة الأنباء السعودية,اداراه البيانات وحوكمتها وتحقيق الامتثال لمتطلبات مكتب اداره البيانات الوطنية وانشاء مستودع البيانات ومنصة دعم القرار ,2022-08-24,24415977.96
إدارة التعليم بمحافظة صبيا,عملية صيانة طارئة لأسقف لعدد من المدارس. ,2022-09-18,609500.0
وزارة الموارد البشرية و التنمية الاجتماعية,البرنامج التأهيلي لشهادة محترف الابتكار المعتمدة ,2022-06-01,115518.42
جامعة الباحة,تامين كرسي أسنان متكامل مع كرسي الطبيب والمساعد وبدون جهاز ضغط ولا جهاز شفط مع اعمال ما قبل التركيب والتركيب والتشغيل ,2022-06-29,618000.0
إدارة التعليم بمنطقة القصيم,استكمال إنشاء مشروع المتوسطة الثانية للبنات بعقلة الصقور,2022-06-13,2376340.8
الهيئة العامة للمنشآت الصغيرة والمتوسطة,خدمات البيانات من المؤسسة العامة للتأمينات الاجتماعية,2022-05-26,1622050.0
أمانة منطقة تبوك,صيانة الشوارع والارصفة والانارة (توريد مواد للصيانة ارصفة الشوارع) بتبوك,2022-06-16,384100.0
أمانة منطقة الرياض,توريد زيوت وبطاريات بلدية محافظة المجمعة ,2022-09-08,391460.0
جامعة الباحة,احياج كلية الصيدلة الاكلينيكية من المواد الكيميائية التعليمية,2022-06-10,149999.96
أمانة المنطقة الشرقية,مشروع تشغيل وصيانة نظام الاتصالات الإدارية بأمانة المنطقة الشرقية,2022-08-17,7499541.0
التجمع الصحي بمنطقة القصيم,إنشاء قسم المناظير بمستشفى الرس العام,2022-08-07,464690.0
المؤسسة العامة لتحلية المياه المالحة,إعادة تأهيل الاعمال المدنية لمباني   لمنظومة رأس الخير,2022-07-26,1283400.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,مراجعة وتدقيق الحسابات الختامية لصندوق البرامج الخاصة والتعليم المستمر وصندوق الطالب,2022-09-18,103500.0
التجمع الصحي بمنطقة القصيم,تطوير بيئة عمل مستشفى بريدة المركزي,2023-04-11,1924709.0
بلدية مليجة,مشروع معالجة وتطوير الميادين والتقاطعات لبلدية مليجة,2022-06-27,981697.5
مدينة رأس الخير  الصناعية,توريد ملابس العمل الرسمية,2022-10-03,250629.85
وزارة الموارد البشرية و التنمية الاجتماعية, استكمال إنشاء مبنى مكتب العمل وصندوق تنمية الموارد البشرية - بمدينة الدمام,2022-06-05,3987921.28
هيئة رعاية الأشخاص ذوي الاعاقة,تقديم خدمات التثقيف والتوعية بشؤون الأشخاص ذوي الإعاقة,2022-06-30,2079977.4
الهيئة العامة للغذاء والدواء,مشروع معايرة أجهزة مختبرات الهيئة العامة للغذاء والدواء لعام 1443هـ ,2022-08-08,200198.8
أمانة منطقة حائل,صيانة الدوارات والمجسمات الجمالية لمحافظة الشملي,2022-08-16,171120.0
أمانة منطقة تبوك,توريد الجزيرة سي برايمر +ملونات,2022-05-30,75812.6
وزارة الاتصالات وتقنية المعلومات  -  الديوان العام,تجديد وتوريد وتركيب دوائر ربط احتياطية بسرعة 350ميغا,2022-09-08,3533982.2
أمانة منطقة تبوك,توريد مكينة قلاب 2008 متسوبيشي + مكينة دينا 2001 متسوبيشي,2022-05-30,115000.0
أمانة منطقة الرياض,صيانة المعدات التابعة للبلدية ,2022-04-20,198978.75
إدارة التعليم بمنطقة المدينة المنورة,تأمين آلات تصوير مستندات لادارة تعليم منطقة المدينة المنورة,2022-11-09,100625.0
إدارة التعليم بمحافظة وادي الدواسر,صيانة وترميم دورات المياه لمدرسة ( م + ث ) الولامين _ بنات,2022-08-23,296750.6
أمانة منطقة حائل,صيانة الحدائق لبلدية محافظة الشملي,2022-08-16,393070.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار  ( PROXIMITY SENSOR STEAM TURBINE ) لمنظومة انتاج الشعيبة بالساحل الغربي,2022-08-20,162000.0
امانة محافظة حفر الباطن,سفلتة وارصفة وإنارة بمحافظة حفر الباطن  (3),2022-06-09,9777495.5
أمانة منطقة تبوك,تأمين وتوريد ادوات كهرباء (بلدية محافظة تيماء),2022-07-08,157343.0
هيئة الزكاة والدخل,صيانة ونظافة وتشغيل فروع الهيئة بالدمام والاحساء وحفر الباطن,2022-07-05,8395000.0
الجامعة السعودية الالكترونية,تجديد تفعيل شرائح البيانات لمدة شهر,2022-05-26,58880.0
وزارة النقل والخدمات اللوجستية-  الديوان العام,مشروع إصلاح المواقع المتضررة لبعض الطرق جنوب محافظة حفر الباطن بالمنطقة الشرقية,2023-05-29,89543670.26
إدارة التعليم بمحافظة ينبع, تأمين آلات تصوير للمدارس بإدارة التعليم بمحافظة  ينبع ,2022-09-12,117645.0
المؤسسة العامة لتحلية المياه المالحة,توريد وتركيب عدد من مجمعات الطاقة الشمسية في معهد الأبحاث بالجبيل,2022-09-08,1568163.0
إدارة التعليم بمحافظة وادي الدواسر,صيانة واصلاح وتشغيل الالات التصوير والفاكسات والطابعات والماسحات الضوئية بالمباني الإدارية قطاع السليل التابعة للإدارة التعليم بمحافظة وادي الدواسر,2022-06-21,496800.0
هيئة الزكاة والدخل,مشروع اعمال أنظمة مكافحة وانذار الحريق  للمدينة السكنية الجديدة  في منفذ حالة عمار,2022-07-05,7920280.0
إدارة التعليم بمنطقة تبوك,تأمين احتياج مدارس منطقة تبوك من المستلزمات التعليمية,2022-06-01,206999.54
أمانة منطقة المدينة المنورة,صيانة الطرق الرئيسية والداخلية ببلدية السويرقية ,2022-06-16,11647200.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار لمنظومة انتاج الشعيبة FENDER MOORING 60005357,2022-07-21,2435165.0
إدارة التعليم بمحافظة الزلفي,نظافة المباني المدرسية بإدارة التعليم بمحافظة الزلفي ,2023-01-01,10079514.48
الهيئة العامة للنقل,تصميم صالات الخدمة في فروع الهيئة العامة للنقل  ,2022-06-27,78004.5
المؤسسة العامة لتحلية المياه المالحة,زيادة ارتفاع الرمل بالمرشح في محطة راس الخير التابع لمعهد الأبحاث و الابتكار وتقنيات التحلية DMF,2022-07-28,6244500.0
الهيئة العامة لعقارات الدولة,توفير سيارات للمقر الرئيسي للهيئة العامة لعقارات الدولة وفروعها عن طريق التأجير السنوي,2022-05-11,3013920.0
وزاة التجارة,‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏اختبار كفاءة الطاقة لمنتج المكيفات,2022-06-19,1056850.0
وزاة التجارة,اختبار كفاءة الطاقة لمنتج الاطارات (مقاومة الدوران),2022-06-09,301300.0
المؤسسة العامة لتحلية المياه المالحة,ازالة واعادة بناء الحاجز الخرساني الايل للسقوط مع معالجة الاسقف المتهالكة بالفلل المعلقة بحي 2 وحي 4 بالمجمع السكني بالجبيل.,2022-08-18,459602.1
جامعة الأمير سطام بن عبدالعزيز,صيانة أجهزة مختبرات كلية الطب,2022-11-20,646875.0
بلدية محافظة عنيزة,كبس ليات   لمعدات بلدية محافظة عنيزة	,2022-04-18,129904.0
أمانة منطقة حائل,صيانة أعمال الكهربائية وملحقاتها للمرافق البلدية,2023-07-26,470827.25
وزارة الصحة  -  الديوان العام,خدمة ربط المختبرات المرجعية مع مراكز الرعاية الأولية في وزارة الصحة ,2023-03-27,51995248.99
إدارة التعليم بمحافظة وادي الدواسر,صيانة واصلاح وتشغيل الالات التصوير والفاكسات والطابعات والماسحات الضوئية بالمباني الإدارية قطاع وادي الدواسر التابعة للإدارة التعليم بمحافظة وادي الدواسر,2022-08-23,914940.0
أمانة منطقة حائل,صيانة معدات ووسائط نقل,2023-07-26,247825.0
صندوق التنمية الزراعية,تصميم وتنفيذ (9) مقاطع موشن جرافيك لا تزيد مدة المقطع الواحد (60 ثانية),2022-07-31,82800.0
أمانة منطقة حائل, صيانة المشتل والبيوت المحمية لبلدية الكهفة,2023-07-26,785220.0
الهيئة العامة لعقارات الدولة,دراسة رضا العملاء الخارجيين للهيئة,2022-05-31,427150.0
أمانة منطقة القصيم,تنفيذ وتجهيز احتفال عيد الفطر المبارك لعام 1443هـ ,2022-04-03,588000.0
إدارة التعليم بمنطقة تبوك,تأمين احتياج مدارس منطقة تبوك من الطاولات والمقاعد الدراسية,2022-06-20,479722.04
إدارة التعليم بمنطقة عسير,توريد وتأمين مواد وخامات للمشاركة في المهرجانات والأنشطة ,2022-05-25,568445.0
المديرية العامة للشؤون الصحية بمنطقة الجوف,ترميم وتطوير مركز صحي قارا القديم ,2023-02-26,3868508.0
أمانة منطقة الرياض,أعمال صيانة مواقع الاصحاح البيئي  بحوطة سدير والمراكز التابعه لخدماتها ,2022-09-08,412776.4
مدينة الملك سعود الطبية,مشروع توريد وتركيب مصاعد المستشفى العام ومركز طب الأسنان,2022-05-15,592250.0
وزارة النقل والخدمات اللوجستية-  الديوان العام,الأعمال المتبقية لمشروع تشغيل وصيانة نظام المسح التصويري الرقمي المتحرك وتحليل الصور والبيانات للطرق,2022-12-19,10921081.96
أمانة منطقة حائل,صيانة المباني المرافق البلدية,2023-07-26,496432.0
إدارة التعليم بمنطقة نجران,صيانة طارئة لعدد من مدارس المنطقة لعام 2022,2022-09-08,944334.0
جامعة الملك خالد,توريد أحبار مختلفة للجامعة ,2022-07-27,349945.0
جامعة الباحة,توريد وتركيب عيادة علاج طبيعي للمركز الطبي الجامعي ,2022-06-10,120135.0
أمانة منطقة حائل,صيانة دهانات مرافق البلدية - لبلدية الكهفة,2023-07-26,287500.0
وزارة السياحة,توفير أجهزة الطاقة الاحتياطية,2022-04-10,573378.5
وزارة البيئة والمياه والزراعة,تشغيل وصيانة ونظافة فرع الوزارة بمنطقة عسير والمباني التابعة له,2022-09-25,24998769.0
هيئة الزكاة والدخل,عقد نظافة وصيانة وتشغيل منفذ الربع الخالي,2022-08-15,9100000.0
أمانة منطقة الباحة,إعادة سفلتة قرى محافظة بني حسن,2022-10-05,813735.4
المؤسسة العامة لتحلية المياه المالحة,التشغيل والصيانة لوحدة تنقية مياه مربة  ,2022-07-12,1611720.2
أمانة منطقة المدينة المنورة,تأجير سيارات لبلدية ينبع النخل م2,2022-06-15,1676700.0
أمانة منطقة الرياض,توريد كيابل متنوعة ,2023-03-15,1252062.5
بلدية محافظة فرسان,سفلتة مخططات المنح بالمملكة ( سفلتة مخطط المجمع القروي الحي الجنوبي بفرسان ),2023-02-01,12984912.2
جامعة الباحة,احتياج كلية الصيدله الاكلينيكيه من الاجهزة التعليمية للمعامل,2022-06-10,624575.0
هيئة تطوير محافظة جدة,توريد وتفعيل رخص البرامج,2022-11-09,156989.95
بلدية محافظة الرس,توريد عدد من قطع غيار معدات ثقيلة - بلدية محافظة الرس ,2022-04-27,167474.5
برنامج الخدمات الصحيه بالهيئة الملكية بالجبيل, صيانة سيارات الاسعاف ,2022-08-10,425500.0
أمانة منطقة الرياض,صيانة وتأهيل المعدات,2022-05-25,798100.0
جامعة الملك خالد,اعمال الرفع المساحي للاراضي المخصصة لكلية العلوم والأداب في أحد رفيدة والحرجة,2022-06-01,108000.0
الهيئة العامة للعقار,تطوير وتشغيل بوابة العقار الجيومكانية ,2022-08-08,600891.1
وزاة التجارة,مشروع توريد وتجديد خدمة حفظ وتخزين وسائط المعلومات الرقمية,2022-06-20,987850.0
أمانة منطقة عسير,صيانة الشوارع (تطوير دوارات بأبها),2022-08-24,2870549.5
وزارة النقل والخدمات اللوجستية-  الديوان العام,استكمال تنفيذ مبنى فرع الوزارة بمحافظة الاحساء,2022-07-29,1838400.35
أمانة منطقة حائل,صيانة الطرق والشوارع لبلدية محافظة الشملي,2022-08-16,633190.0
وزاة التجارة,اختبار كفاءة الطاقة لمنتج سخانات المياه,2022-06-09,563500.0
المديرية العامة للشؤون الصحية بمنطقة الرياض,جمع وتخزين نفايات الرعاية الصحية الخطرة بالمنشآت الصحية التابعة لصحة الرياض,2023-02-01,3201120.0
مستشفى الملك خالد التخصصي للعيون,تأمين تجديد رخص برنامج التحليل الاحصائي spss,2022-06-02,64255.44
وزارة الموارد البشرية و التنمية الاجتماعية,مشروع تأمين نظام (سبرنكلر) للبرمجيات والتحليل والدراسة,2022-04-24,1384564.35
بلدية محافظة الشماسية,سفلتة و أرصفة و إنارة للأمانة و البلديات و القرى التابعة,2022-06-13,759303.0
مدينة جازان للصناعات الاساسية و التحويلية,توريد وتركيب أجهزة الهاتف و الاتصال المرئي ,2022-06-30,1451070.0
امانة محافظة حفر الباطن,سفلتة وارصفة وإنارة بمحافظة حفر الباطن  (2),2022-08-01,11360677.5
هيئة الرقابة النووية و الإشعاعية,تأسيس مركز البيانات لهيئة الرقابة النووية والإشعاعية,2022-08-16,7023409.95
جامعة الباحة,توريد وتركيب عيادة انف واذن وحنجرة للمركز الطبي الجامعي ,2022-06-29,258490.0
الهيئة العامة للغذاء والدواء,مشروع فحص وصيانة ومعايرة أجهزة كبائن طرد الأبخرة والغازات الثابتة وكبائن الأمان البيولوجية ,2022-05-23,143750.0
وزارة النقل والخدمات اللوجستية-  الديوان العام,الاعمال المتبقية لمشروع استكمالات بعض الطرق بمنطقة الرياض (المجموعة الثلاثون),2023-04-09,63168052.15
امانة محافظة حفر الباطن,  سفلتة وارصفة وإنارة بمحافظة حفر الباطن  (1),2022-08-21,13109551.5
امانة محافظة حفر الباطن,صيانة بحفر الأبار في الحدائق والمنتزهات والطرق بحفر الباطن,2022-07-28,948635.0
أمانة منطقة حائل,صيانة مدخل الكهفة الشمالي,2023-07-26,2024494.5
