الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة
وزارة الرياضة,صيانة ونظافة وتشغيل نادي الوشم بشقراء ,2022-07-17,10674300.0
وزارة الرياضة,صيانة ونظافة وتشغيل نادي الدرع بالدوادمي ,2022-02-25,8651597.2
وزارة الرياضة,صيانة ونظافة وتشغيل نادي النهضة بالدمام ,2022-02-09,14718459.0
إدارة التعليم بمنطقة الباحة,عملية استكمال الضمان العشري لمدرسة ثانوية بني فروه (بنين),2022-02-27,362916.0
مؤسسة البريد السعودي, تطبيق نظام تقييم أداء الموظفين,2021-12-28,1242204.02
المركز الوطني لنظم الموارد الحكومية,مشروع توريد خوادم في مركز البيانات الرئيسي و الاحتياطي,2021-12-06,11590939.7
المركز الوطني لنظم الموارد الحكومية,مشروع تشغيل مركز عمليات الامن السيبراني ,2022-02-08,14250535.5
إدارة التعليم بمنطقة تبوك,مقايسة صيانة عدد من المباني المدرسية بمنطقة تبوك ,2022-02-16,2680075.0
إدارة التعليم بمحافظة الطائف,عملية صيانة طارئة لمبنى ثانوية الملك خالد (بنين) ,2021-12-22,308000.0
المؤسسة العامة لتحلية المياه المالحة,توفير دوائر بيانات IP VPN ,2022-03-14,1883700.0
مدينة رأس الخير  الصناعية,تطوير نظام الاتصال اللاسلكي بمدينة رأس الخير,2022-06-23,4000000.0
جامعة القصيم,تشغيل وصيانة محطة الأبحاث والتجارب الزراعية,2022-06-10,502500.0
المديرية العامة للشؤون الصحية بالمنطقة الشرقية,مــشــروع توريد وتركيب وحدات عدم انقطاع التيار الكهربائي UPS بمستشفى الملك فهد التخصصي بالدمام .,2022-03-14,950595.75
أمانة محافظة الأحساء,إعادة تأهيل قاعة الاجتماعات بأمانة الأحساء   ,2021-11-18,807993.45
بلدية محافظة الجموم,توريد قطع غيار وأدوات لزوم صيانة الإنارة في بلدية محافظة الجموم ,2021-11-09,276598.0
المؤسسة العامة لتحلية المياه المالحة,إعاده تأهيل وتجديد السور الخارجي حول المجمع السكني لمحطات التحلية بالخبر,2022-03-30,5590613.04
وزارة النقل والخدمات اللوجستية-  الديوان العام,الاعمال المتبقية لمشروع طريق الخرج/القويعية المزدوج (المرحلة الثانية) بطول 10 كم شاملاً تنفيذ تقاطع الحائر الحوطة ومعبر جمال مع اعمال التصريف والاعمال المتفرقة واعمال المرور والسلامة.,2022-06-15,39838244.22
وزارة النقل والخدمات اللوجستية-  الديوان العام,الأعمال المتبقية لمشروع ازدواج ورفع مستوى طريق الحقو/الريث/جلة الحياة بطول 50كم (المرحلة الثانية) بمنطقة جازان,2022-01-20,12990678.88
وزارة النقل والخدمات اللوجستية-  الديوان العام,تشغيل وصيانة الأعمال الكهربائية لطرق منطقة المدينة المنورة  ,2022-06-28,9122947.7
المركز الوطني لتنمية الحياة الفطرية,معالجة المشاكل الناجمة عن قرود البابون  في مدينة مكة المكرمة والمشاعر المقدسة ,2021-12-15,2968823.9
بنك التنمية الاجتماعية,مشروع توريد سيارات للفروع والمقر الرئيسي,2021-11-23,1340831.0
وزارة الصناعة والثروة المعدنية,تأمين محروقات لوزارة الصناعة والثروة المعدنية,2021-11-12,578851.0
مدينة الملك فهد الطبية,منافسة الخدمات العامة لمدينة الملك فهد الطبية,2022-10-04,91936198.0
المديرية العامة للشؤون الصحية بمنطقة جازان,منافسة مشروع تطوير المطبخ المركزي وثلاجة الموتى بمستشفى جازان العام,2022-05-18,2975786.0
المؤسسة العامة لتحلية المياه المالحة,إعادة تأهيل وترميم مستودعات منظومة انتاج ينبع,2022-01-27,929774.9
المركز الوطني للأرصاد,    منافسة عقد استشاري الإشراف على عقود تشغيل وصيانة الأنظمة الأرصادية وتقنية المعلومات والمرافق ,2022-06-13,20210100.0
جامعة الملك عبدالعزيز,عملية تأمين وتوريد رخصة برنامج الماتلاب لمدة ( 3 سنوات) لكلية الحاسبات وتقنية المعلومات,2021-11-19,1012000.0
بلدية محافظة الجموم,صيانة الانارة بطريق مكة القديم (طريق عين  شمس) بمحافظة الجموم,2021-11-24,496915.0
وزارة الشئون البلدية والقروية والأسكان,"توريد وتشغيل رخص إدارة التقارير والبنية المؤسسية""",2022-03-22,8856334.0
إدارة التعليم بمحافظة حفر الباطن,صيانة االأعمال الزراعية بالملاعب المجمعة والمباني الادارية,2022-01-17,864000.0
جامعة الملك عبدالعزيز,مشروع تأمين جهاز موزع الاحمال لعمادة تقنية المعلومات     ,2022-09-26,1840000.0
الشئون الصحية بمنطقة مكة المكرمة,خدمات التغذية بمستشفى الملك فيصل –  مركز الصحة العامة بمنى (الطب الوقائي)- مركز الطوارئ والنقل الإسعافي بالمعيصم (الطب الشرعي بالمعيصم) بمكة المكرمة ,2022-09-11,27351700.05
جامعة القصيم,تشغيل البيئة المساعدة للتعلم الإلكتروني في جامعة القصيم,2021-12-19,2693932.5
وكالة الأنباء السعودية,عملية تجديد رخص منتجات شركة مايكروسفت ,2022-03-10,854158.0
المؤسسة العامة للتدريب التقني والمهني,توريد المياه لمنشآت جازان(مبنى ابو عريش-بنات جازان- صامطة-الدائر-العمارة والتشييد-الإدارة العامة-فرع الكلية التقنية بالعيدابي ),2022-02-07,1338048.0
المؤسسة العامة للري,ردم مسارات قنوات الري الخرسانية للقطاعين الثاني والثالث بعد إزالة قنوات الري الخرسانية  ,2021-11-18,309637.5
جامعة نجران, صيانة وتشغيل الحاسب الآلي بجامعة نجران ,2022-03-14,9444218.0
هيئة الزكاة والدخل, مشروع تطوير وشراء رخص Remedy ,2022-03-31,2599920.0
أمانة منطقة الباحة,تأمين سيارات بنظام الإيجار لأمانة منطقة الباحة ,2021-12-09,5870623.5
المديرية العامة للشؤون الصحية بمنطقة عسير,تأمين كاميرات مراقبة أمنية لمباني المديرية العامة للشؤون الصحية بمنطقة عسير,2022-02-21,499905.0
وزارة النقل والخدمات اللوجستية-  الديوان العام, فتح وتمهيد وصيانة الطرق الترابية الجزء الثاني بمنطقة المدينة المنورة ,2022-06-22,24999957.0
الهيئة العامة للطيران المدني,مشروع صيانة مشبهات مركز تدريب الإطفاء والإنقاذ بالأكاديمية السعودية للطيران المدني,2022-04-04,2656483.9
المركز الوطني لنظم الموارد الحكومية,حلول حماية البيانات,2022-01-27,2750000.0
مدينة الملك سعود الطبية,تجديد صيانة نظام تنسيق في مدينة الملك سعود الطبية,2022-01-21,449785.7
مدينة الملك عبدالعزيز للعلوم والتقنية,نظافة وزراعة واحة الملك سلمان للعلوم,2022-04-04,2493807.0
وزارة البيئة والمياه والزراعة,تشغيل منصة التجارة الإلكترونية للمركز الوطني للنخيل والتمور,2022-01-09,14184000.0
المركز الوطني للتنمية الصناعية,تجديد خدمة الإنترنت ,2021-12-24,1344419.0
الهيئة العامة للأمن الغذائي,توريد قطع غيار لفرع المؤسسة بجازان,2021-12-02,4178306.5
بلدية عسفان,صيانة الشوارع و الطرق العامة بمركز عسفان والقرى التابعة له     ,2022-04-20,3597200.0
جامعة شقراء,خدمات الدعم الفني لمنظومة المعلومات الجامعية الاكاديمية,2021-12-20,4363422.0
صندوق التنمية العقارية,مشروع تطوير وتحسين نظام زيارات المهندسين والتقييم العقاري للمنتج المدعوم,2022-03-03,1674400.0
جامعة شقراء,توريد وتركيب اجهزة انذار لمركبات الامن الجامعي,2022-02-17,47414.5
إدارة التعليم بمحافظة المخواة, نظافة المباني المدرسية بإدارة التعليم بمحافظة المخواة (قطاعي المخواة وغامد الزناد) ,2022-03-08,12877987.5
أمانة منطقة الرياض,توريد ليات لصيانة المزروعات ومعالجة التشوه البصري ,2022-02-03,80190.0
بلدية محافظة الجموم,توريد أعمدة انارة لزوم صيانة الانارة في القرى والشوارع الداخلية بمحافظة الجموم,2022-02-27,393300.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بالجبيل,انتاج المواد الإعلامية والتوعوية التسويقية بقطاع التعليم بالهيئة الملكية بالجبيل,2022-04-12,380000.0
بلدية محافظة الجموم,توريد كيابل لزوم صيانة شبكات الانارة بمحافظة الجموم,2022-04-22,454250.0
المؤسسة العامة لتحلية المياه المالحة,إزالة فواصل مادة الأسبستوس من مبنى بيت الضيافة وشرائح سقف مادة الأسبستوس من بعض الغرف والشرفات في الفلل والشقق بالمجمع السكني لمحطات التحلية بالخبر,2021-12-30,117641.55
ميناء جدة الاسلامي,إنشاء أرصفة بحرية جديدة (من 26إلى31) بعمق تصميمي -16متر بدلا عن الأرصفة الحالية ذات عمق (-11متر,2022-06-05,458470500.0
المؤسسة العامة لتحلية المياه المالحة,تقديم الدعم الاستشاري القانوني والمالي لإعداد اتفاقيات بيع الطاقة الكهربائية من محطتي رأس الخير/ ينبع المرحلة الثالثة,2022-04-13,3318913.04
بنك التنمية الاجتماعية,تجديد نظام الساند بوكس Virtual Sandbox,2021-12-09,793256.2
أمانة منطقة المدينة المنورة,توريد معدة حفار (حفر) لإدارة إكرام الموتى,2022-02-08,310500.0
إدارة التعليم بمحافظة الطائف,صيانة طارئة لمدرسة حطين المتوسطة بمعالجة رشح دورات المياه,2021-11-15,128560.0
إدارة التعليم بمحافظة الطائف,صيانة روضة رضوان وروضة ظلم وروضة مران ,2021-11-15,431330.0
جامعة الملك خالد, توريد زي التخرج لطلاب وطالبات الجامعة ,2022-04-13,2269755.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توفير الدعم الفني وتجديد الرخص لنظام هيماتوس Hematos - الرياض,2022-04-27,1085370.0
إدارة التعليم بمحافظة الرس,تاهيل مجمع العاقر التعليمي بنات,2022-01-03,106108.2
المؤسسة العامة لتحلية المياه المالحة,تجديد تراخيص البيئة الافتراضية (VMware),2021-12-30,1461650.0
بلدية محافظة العيدابي,الصيانة والنظافة المباشرة (تامين سيارة نقل الموتى ),2022-02-23,149500.0
وزارة الاسكان,توريد محروقات لوزارة الشؤون البلدية والقروية والإسكان لشؤون الإسكان وفروعها.,2021-12-29,394758.0
وزارة الصناعة والثروة المعدنية,توريد عدد (10) مركبات لوزارة الصناعة والثروة المعدنية,2021-11-21,1437500.0
وزارة الاسكان,: توريد وتركيب أثاث مكتبي مبنى الوزارة بمنطقة مكة المكرمة بمدينة جدة.,2022-03-22,493735.25
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توريد وتركيب نظام التحكم بالعبور ونظام الكاميرات في عدة مناطق  بمستشفى الملك فيصل التخصصي - الرياض,2022-02-28,195733.45
وزاة التجارة,مشروع تطوير التحديثات وتقديم الدعم الفني للنظام الوسيط (منصة صرف - UGP),2022-01-31,278587.5
المؤسسة العامة لتحلية المياه المالحة, توريد وتركيب نظام حقن ثاني اكسيد الكلور في محطات تحلية الشعيبة المرحلة الرابعة ,2022-04-13,6119155.75
جامعة الحدود الشمالية, توريد وتركيب أرفف وخزنات لمستودع الكيماويات ,2022-06-29,157808.75
وزارة البيئة والمياه والزراعة,تطوير وتنمية التركيبة المحصولية بمنطقة القصيم,2021-11-18,285200.0
الهيئة السعودية للمواصفات والمقاييس والجودة,توريد وتصميم زي موحد لفنيي الهيئة والجولات الرقابية  ,2022-04-25,335360.0
وزارة البيئة والمياه والزراعة,تقديم الدعم الفني التشغيلي لمختبرات المركز الوطني للزراعة العضوية بالقصيم,2022-01-09,5473967.5
جامعة القصيم,أتمته الإجراءات للنظام الأكاديمي,2022-03-17,1972250.0
الهيئة العامة للإحصاء,توريد أجهزة حاسب آلي محمول للمسوح الاحصائية,2021-12-31,6994300.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توريد وتركيب محطات العمل قسم الاشعة في برج الملك عبدالله ,2022-01-13,531948.6
إدارة التعليم بمنطقة الباحة,عملية توريد وتركيب مظلة معدنية لمدرسة الحكمان (بنات),2021-11-23,263419.0
أمانة منطقة تبوك, خرسانة عادية 250 كجم  خرسانة عادية 300كجم ,2021-11-23,243002.36
المديرية العامة للشؤون الصحية بمنطقة الرياض, الصيانة والنظافة والتشغيل الغير طبي للمراكز الصحية بداخل الرياض التابعة لتجمع الرياض الصحي الثالث ,2022-10-20,33799620.0
أمانة منطقة الرياض,اعادة وصيانة تالف  وتوريد مكاتب و دواليب وطاولة اجتماعات وكراسي دوار و كلاسيك,2022-09-08,113055.35
أمانة منطقة تبوك,كشف لد مفرد 7*7 لون اسود قوة اللمبات 7 وات,2021-11-23,128041.0
بنك التنمية الاجتماعية,منافسة تجديد اتفاقية الرخص المؤسسية لمنتجات مايكروسوفت ,2021-12-20,17787025.31
المؤسسة العامة لتحلية المياه المالحة, تركيب أنظمة المراقبة والحواجز البحرية لمحطات تحلية ينبع. ,2022-11-07,61985000.0
المديرية العامة للشؤون الصحية بالمنطقة الشرقية,مشروع تطوير المدخل الرئيسي ومبنى إعادة التأهيل بمستشفى الملك فهد التخصصي بالدمام.,2022-03-14,1830532.92
هيئة الزكاة والدخل,مطبوعات (استكرات) مركبات الهيئة,2022-03-24,2214751.88
بلدية محافظة القريات,استئجار معدات لمعالجة مظاهر التشوه البصري بمحافظة القريات,2021-11-20,898150.0
بلدية محافظة الجبيل,مشروع مستلزمات الصيانة المباشرة للإضاءة في محافظة الجبيل ,2022-02-22,719273.25
مدينة الملك سعود الطبية,مشروع تطوير عيادة المسالك البولية في الدور الاول بالمستشفى العام بمدينة الملك سعود الطبية,2021-11-11,168128.16
المؤسسة العامة لتحلية المياه المالحة,توريد فلاتر خرطوشية لمحطات تحلية ينبع 60003187 ,2022-01-16,116800.0
المركز الوطني للرقابه على الالتزام البيئي,مشروع التطوير التنظيمي والموارد البشرية للمركز ,2022-03-13,2656500.0
الهيئة السعودية للسياحة,تجديد رخص استخدام منتجات مايكروسوفت وتقديم خدمات الدعم الفني,2022-02-17,13965996.38
إدارة التعليم بمنطقة حائل,صيانة عاجلة للمدارس ابتدائية أحد بنين و مركز الوثائق والمحفوظات ومعهد الأمل الابتدائي للصم بنات,2022-11-13,1190126.95
بلدية أضم,استئجار سيارات لبلدية أضم,2021-11-23,1185323.4
المركز الوطني للرقابه على الالتزام البيئي,مشروع توريد عدد (1) مولد كهربائي احتياطي,2022-12-28,322000.0
أمانة محافظة الطائف,صيانة ملعب الساحات البلدية التابع لبلدية بني سعد,2022-02-14,171212.0
جامعة الملك فيصل,منافسة تأمين قطع غيار مركبات الجامعة لعام 2021م,2022-05-09,311120.08
إدارة التعليم بمنطقة حائل,صيانة عاجلة للمدراس الثانوية الثالثة عشر بنات وثانوية قفار بنات ومتوسطة مجاهد بنين,2022-11-13,496620.6
وزارة النقل والخدمات اللوجستية-  الديوان العام,الاعمال المتبقية لمشروع ازدواج طريق القويعية/الرين/الحريق (المرحلة الثانية) بطول 16كم ,2022-03-10,27002155.51
المؤسسة العامة للتدريب التقني والمهني,نظافة الكلية التقنية للبنين بحائل 2,2022-01-18,136480.9
المؤسسة العامة للتدريب التقني والمهني, نظافة الكلية التقنية للبنين ببريدة ( القسم الشمالي) 2,2022-01-18,220938.49
وزارة البيئة والمياه والزراعة,توريد (3) مختبرات متنقلة مع التجهيزات لفحص وتشخيص أمراض وآفات النحل في المحاجر,2022-03-09,3114243.7
مدينة رأس الخير  الصناعية,نقل مياه الشرب والصرف الصحي,2021-12-16,699715.2
المؤسسة العامة لتحلية المياه المالحة,مشروع المحاكاة الافتراضية للعمليات والتدريب,2022-03-30,2793061.35
دارة الملك عبدالعزيز,مشروع توريد رخص نظام ManageEngine Products ,2022-11-28,199261.08
أمانة منطقة تبوك,توريد زيوت معدات ثقيلة,2021-11-15,132710.0
وزارة الموارد البشرية و التنمية الاجتماعية,عملية تأمين أنظمة أمن وسلامة لدار الرعاية الاجتماعية بالمدينة المنورة,2021-12-09,300000.0
مدينة الملك عبدالعزيز للعلوم والتقنية,تشغيل وصيانة واحة الملك سلمان للعلوم,2022-03-25,9100000.0
هيئة الزكاة والدخل,تجديد اتفاقية خدمات شركة جارتنر - (2021),2022-03-17,4122103.0
الهيئة العامة للنقل,اشتراك في منصة أبحاث لتقديم خدمات استشارية ,2021-12-07,596218.65
مؤسسة البريد السعودي,مشروع تقديم فعالية اطلاق الجدارات والمبادرات الخاصة بمؤسسة البريد السعودي (سبل),2021-12-02,500000.0
المركز الوطني لنظم الموارد الحكومية,مشروع دعم أعمال إدارة البيانات وذكاء الأعمال,2022-01-27,19700190.0
المؤسسة العامة لتحلية المياه المالحة,توريد وتركيب متطلبات الأمن والسلامة لأغلاق طريق الخدمة الخاص بمنظومة نقل مياه رأس الخير,2022-01-05,417220.0
المؤسسة العامة لتحلية المياه المالحة,"توريد مجففات ملابس منزلية لمحطات تحلية المياة بالشعيبة - DRYER,CLOTH,DOMESTIC",2021-11-16,170000.0
المركز السعودي للاعمال الاقتصادية,تقديم الخدمات الاستشارية لتنفيذ  البوابة الداخلية واتمتة اللجان للمركز السعودي للأعمال,2021-12-15,1207500.01
جامعة الامام محمد بن سعود الاسلامية,مشروع نظام إدارة الجودة والاعتماد الأكاديمي,2022-03-17,1098139.6
وزارة الموارد البشرية و التنمية الاجتماعية,تدشين المهرجان التنموي لمبادرات منطقة جازان,2021-11-28,250000.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار لإدارة انظمة نقل مياه الشقيق 60003138,2022-02-17,96780.0
جامعة الأميرة نورة بنت عبدالرحمن,توريد الأجهزة التقنية للإدارة العامة لتقنية المعلومات والاتصالات بجامعة الأميرة نورة بنت عبد الرحمن,2022-03-21,8586813.1
أمانة منطقة الرياض,توريد ادوات حدادة,2022-02-03,60085.0
وزارة الموارد البشرية و التنمية الاجتماعية,تدشين المهرجان التنموي لمبادرات منطقة حائل,2021-12-07,179170.0
وزارة المالية  -  الديوان العام,إعادة ترميم وتأهيل دورات المياه العامة والمفردة بمباني الوزارة (12,2021-12-13,1697687.5
أمانة منطقة الرياض,توريد ثيل صناعي,2022-02-03,264500.0
وزارة الرياضة,صيانة ونظافة وتشغيل مدينة الملك عبدالعزيز الرياضية بمكة المكرمة ,2022-05-26,24860400.0
المركز الوطني لنظم الموارد الحكومية,ترقية البنية التحتية التقنية للشبكات وأنظمة أمن المعلومات,2022-02-23,17218786.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توريد وتركيب نظام للطاقة غير المنقطعة (UPS)  عدد (12)  - مستشفى الملك فيصل التخصصي - الرياض ,2022-11-16,1810514.0
وزارة السياحة,تنفيذ الأعمال المتعلقة بخدمة الضيافة في الوزارة,2021-11-23,2794500.0
الهيئة العامة للغذاء والدواء,تجديد الاشتراك بقاعدة بيانات مايكروميدكس,2021-12-21,350616.6
مؤسسة البريد السعودي,مشروع  إنتاج فلم وفيديو اعلان الناشر التجاري وتصوير صور فوتوغرافية ,2022-01-06,348128.0
وزارة السياحة,تأمين وتوريد الأجهزة والأدوات اللازمة لاعمال الضيافة في الوزارة,2021-11-22,957875.25
بلدية محافظة البدائع,تأمين شاحنة مزودة بونش (كرين) لبلدية محافظة البدائع ,2022-01-30,648600.0
الهيئة الملكية للجبيل وينبع - الإدارة العامة بالجبيل,توريد مواد استهلاكية وأجهزة لمعامل كلية الجبيل الصناعية. ,2022-02-14,384976.57
الهيئة العامة للأمن الغذائي,توريد اجهزة نظافة اكمام الفلاتر لفروع المؤسسة,2022-01-29,787290.0
أمانة العاصمة المقدسة,تأمين مستلزمات السلامة المرورية للأنفاق بمكة المكرمة والمشاعر المقدسة,2022-01-31,3720940.0
وزارة الموارد البشرية و التنمية الاجتماعية,تدشين المهرجان التنموي لمبادرات منطقة الجوف,2021-12-07,218155.0
المؤسسة العامة لتحلية المياه المالحة,تركيب نظام أتمته العمليات التدريبية,2022-03-01,574979.88
بلدية مدركة,عملية صيانة و أعادة تأهيل حديقة رهاط ,2022-06-16,343275.0
بلدية مدركة,عملية صيانة وإعادة تأهيل شبكة الري في الجزيرة الوسطية بمدركة ومسيحة الشرقية,2022-06-09,135585.0
إدارة التعليم بمحافظة القنفذة,صيانة وإصلاح وتشغيل أجهزة التبريد والتكييف والتدفئة بالمباني المدرسية,2022-09-22,10058130.0
إدارة التعليم بمحافظة القنفذة,صيانة وإصلاح وتشغيل المباني المدرسية,2022-08-21,13917645.0
إدارة التعليم بمحافظة القنفذة,أعمال متفرقة للمباني التعليمية المجموعة الأولى بالقنفذة,2021-12-02,2896800.0
مستشفى الملك فيصل التخصصي ومركز الابحاث-جدة,"تقديم خدمات الصيانة لجهاز الرنين المغناطيسي (GE 3.0 Tesla MRI, Discovery MR750w) المصنع من قبل جي إي للرعاية الصحية (GE)",2022-01-12,2173500.0
أمانة منطقة الرياض,طبقة اسفلت 5سم داخل الاحياء ,2022-09-13,345000.0
وزارة الصحة  -  الديوان العام,برامج إحصائية ومراجع علمية واشتراكات في مجلات علمية ,2022-05-09,230000.0
بنك التنمية الاجتماعية,تأمين أجهزة حاسب آلي مكتبي وملحقاته و شاشات للأجهزة,2021-12-07,3423205.0
إدارة التعليم بمحافظة الدوادمي,توريد قطع الغيار غير الاستهلاكية لمستودعات إدارة التعليم بمحافظة الدوادمي,2022-06-21,767711.25
بلدية الظاهرية,تامين بنزين لتر 91 مع النقل وتامين ديزل مع النقل ,2022-06-22,315000.0
المركز الوطني لتنمية الحياة الفطرية,توريد وتركيب معدات و قوارب بحثية بحرية (10-11متر) مع أجهزة بحرية تابعة لها للمركز الوطني لتنمية الحية الفطرية (الساحل الشرقي),2022-09-15,14845695.0
أمانة منطقة الرياض,توريد حديد ,2023-02-01,330000.0
جامعة بيشة,مشروع إعادة تأهيل مبنى كلية العلوم والاداب طلاب بتثليث بجامعة بيشة,2021-11-01,169883.75
المؤسسة العامة للري,مشروع تقييم الشبكة المعلوماتية والاتصالات في المؤسسة العامة للري,2021-12-09,632500.0
جامعة بيشة,مشروع إعادة تأهيل مبنى كلية العلوم والآداب طلاب في بلقرن بجامعة بيشة,2021-11-01,386462.1
أمانة العاصمة المقدسة,تأمين مستلزمات السلامة المرورية للجسور بمكة المكرمة والمشاعر المقدسة,2022-01-31,2104615.0
أمانة العاصمة المقدسة, عملية  صيانة الطرق بالمناطق العشوائية بمكة المكرمة,2021-12-16,7498000.0
جامعة المجمعة,توريد وتركيب لوحات ارشادية في الطرق خارج المدينة الجامعية وداخلها.,2021-11-02,104995.0
وزارة الموارد البشرية و التنمية الاجتماعية,الدليل الارشادي وتدريب النساء لمجالس الإدارة ,2021-12-02,494500.0
الهيئة العامة للمنافسة,مشروع التأمين الطبي لمنسوبي الهيئة العامة للمنافسة للعام 2022م,2021-12-13,7447893.35
أمانة منطقة الباحة,تأمين وتوريد مياه لري المنتزهات بأمانة الباحة,2021-11-22,842399.74
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار كهرباء لمحطات تحلية الشعيبة- الساحل الغربي,2022-01-05,336000.0
أمانة منطقة الرياض,صيانة انارة الشوارع بالدرعية,2022-11-02,897977.5
الهيئة العامة للإحصاء,تجديد رخص برنامج تناقل البيانات لمشروع التعداد SOTI والدعم لمدة سنة واحدة,2021-11-10,3036000.0
أمانة منطقة تبوك,إعادة تأهيل الحاويات وذلك ضمن أعمال تحستن المشهد الحضري ومعالجة التشوهات البصرية ,2021-11-17,37950.0
وزارة الاستثمار,توريد أجهزة محمولة وملحقاتها و طابعات واحبار,2021-11-29,3298087.3
أمانة منطقة الرياض,توريد زيوت لمعدات وسيارات البلدية,2022-09-08,240407.5
المركز الوطني للتنمية الصناعية,اعادة تهيئة نظام الموارد المؤسسية ,2021-12-09,1150000.0
المركز الوطني للرقابه على الالتزام البيئي,توريد وتركيب طابعة بطاقة تعريفية لمنسوبي المركز ومستلزماتها,2021-11-11,126362.0
الهيئة السعودية للمواصفات والمقاييس والجودة,حماية شبكة الحاسب الآلي -إعادة طرح-,2022-03-23,2012926.0
التجمع الصحي بمنطقة القصيم,تطوير عدد (6) مراكز رعاية صحية ببريدة,2021-12-20,460989.0
بلدية محافظة الشماسية,توريد بلدورات وانترلوك (معالجة التشوه البصري),2022-02-06,387435.0
إدارة التعليم بمحافظتي الحوطة و الحريق, صيانة وإصلاح وتشغيل المباني التعليمية  بمحافظتي حوطة بني تميم والحريق,2022-03-02,4312224.0
أمانة منطقة تبوك,توريد بحص ابيض,2021-10-28,65668.0
المركز الوطني لنظم الموارد الحكومية,الخدمات الإستشارية لتطوير البنية المؤسسية و التميز المؤسسي للمركز الوطني لنظم الموارد الحكومية,2022-02-28,22717000.0
وزارة البيئة والمياه والزراعة,تطوير وتنمية الزراعة العضوية بمنطقة مكة المكرمة,2022-04-05,206540.0
بنك التنمية الاجتماعية,منافسة توريد وتركيب وتوحيد أجهزة البصمة لنظام الحضور والانصراف الالكتروني لبنك التنمية الاجتماعية بالإدارة العامة وفروعه ,2021-12-09,1193608.0
إدارة التعليم بمحافظتي الحوطة و الحريق,صيانة وإصلاح وتشغيل الآت التصوير بالمباني المدرسية,2022-03-01,693036.04
بلدية محافظة رابغ,تأمين وتوريد مضخات لبلدية محافظة رابغ,2021-11-22,694370.0
وزارة النقل والخدمات اللوجستية-  الديوان العام,الأعمال المتبقية لإستكمال طريق القصيم  الجبيل السريع (الجزء الواقع بمنطقة القصيم ) بطول 15 كلم ,2022-07-05,94481353.92
أمانة منطقة الرياض,صيانة بلدوزر لبلدية محافظة السليل,2021-11-08,172270.0
وزارة البيئة والمياه والزراعة,تجديد الدعم الفني لرخص برمجيات شركة مايكروسوفت بوزارة البيئة والمياه والزراعة,2021-11-18,669162.0
الشئون الصحية بمحافظة بيشة,تاثيث مركز صحي عفراء ,2022-08-14,171120.0
وزارة البيئة والمياه والزراعة,توريد (4) عيادات متنقلة مع التجهيزات لفحص وتشخيص أمراض وآفات النحل (مرحلة 2),2022-03-09,4238578.0
وزارة الاتصالات وتقنية المعلومات  -  الديوان العام,رخص نظام Next Cloud لمشاركة الملفات ,2022-05-25,581104.0
أمانة العاصمة المقدسة,تشغيل وصيانة ونظافة مبنى أمانة العاصمة المقدسة بالكعكية وملحقاته,2022-02-02,7441650.0
التجمع الصحي بمنطقة القصيم,تامين احتياج مستشفى الملك فهد التخصصي من مستهلكات ومستلزمات طبية,2022-01-18,4280443.76
إدارة التعليم بمحافظة المخواة,صيانة طارئة لعدد ( 7 ) مدارس بإدارة تعليم المخواة,2022-01-03,669990.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,تصميم كتاب أهم الإنجازات لمستشفى الملك فيصل التخصصي ومركز الأبحاث لعام ٢٠٢٠ (عربي إنجليزي) ,2022-03-09,71300.0
أمانة المنطقة الشرقية,مشروع صيانة شوارع شرق الدمام للأعوام 2022-2024م,2022-04-14,18292621.05
جامعة الأميرة نورة بنت عبدالرحمن,مشروع تطوير مرافق الشؤون الصحية بجامعة الأميرة نورة بنت عبدالرحمن,2022-02-21,988085.75
الهيئة العامة للإعلام المرئي والمسموع,صيانة ونظافة المبنى الرئيسي للهيئة العامة للاعلام المرئي والمسموع,2022-03-22,3564025.38
أمانة منطقة الرياض,تأمين وتوريد ادوات كهربائية بلدية الزلفي,2021-11-17,232438.0
بلدية محافظة ظهران الجنوب,توريد أدوات زراعية لبلدية ظهران الجنوب ,2022-04-07,94001.0
بلدية محافظة ظهران الجنوب,توريد ادوات حداده لبلدية ظهران الجنوب ,2022-04-07,66688.5
أدارة الموارد الذاتية بصحة جدة,توريد وتركيب مكاتب وكراسي ( أثاث) لمستشفى الثغر العام بجدة ,2022-05-17,186300.0
المؤسسة العامة لتحلية المياه المالحة,تأهيل وإعمار وتوريد وتركيب والاختبار التشغيلي لنظام التفاعلي بين المشغل ونظام التحكم بمحطات التناضح العكسي,2022-04-04,5749770.0
جامعة الملك عبدالعزيز,معالجة بنشات المعامل والمختبرات الإدارة العامة للخدمات التعليمية,2021-11-10,193832.5
