Name,Description,Date,Amount
البيئة والمياه والزراعة,تجهيز وتهيئة مختبر الأنسجة في المركز الوطني لابحاث وتطوير الزراعة المستدامة (استدامة),2024-02-08,2521466.95
البيئة والمياه والزراعة,تجهيز وتهيئة مختبر الأنسجة في المركز الوطني لابحاث وتطوير الزراعة المستدامة (استدامة),2024-02-08,2521466.95
البيئة والمياه والزراعة,استكمال إنشاء سدود المجموعة الثالثة (سد وادي تلاع الجنوبي) بمنطقة تبوك,2024-01-23,6899045.5
البيئة والمياه والزراعة,استكمال إنشاء سدود المجموعة الثالثة (سد وادي تلاع الجنوبي) بمنطقة تبوك,2024-01-23,6899045.5
البيئة والمياه والزراعة,استكمال إنشاء سدود المجموعة الثالثة (سد وادي تلاع الجنوبي) بمنطقة تبوك,2024-01-23,6899045.5
البيئة والمياه والزراعة,استكمال إنشاء سدود المجموعة الثالثة (سد وادي تلاع الجنوبي) بمنطقة تبوك,2024-01-23,6899045.5
البيئة والمياه والزراعة,استكمال إنشاء سدود المجموعة الثالثة (سد وادي تلاع الجنوبي) بمنطقة تبوك,2024-01-23,6899045.5
البيئة والمياه والزراعة,استكمال إنشاء سدود المجموعة الثالثة (سد وادي تلاع الجنوبي) بمنطقة تبوك,2024-01-23,6899045.5
البيئة والمياه والزراعة,استكمال إنشاء سدود المجموعة الثالثة (سد وادي تلاع الجنوبي) بمنطقة تبوك,2024-01-23,6899045.5
البيئة والمياه والزراعة,استكمال إنشاء سدود المجموعة الثالثة (سد وادي تلاع الجنوبي) بمنطقة تبوك,2024-01-23,6899045.5
البيئة والمياه والزراعة,توريد ماء صالح للشرب لمركز الأمير سعود الفيصل لأبحاث الحياة الفطرية بالطائف,2023-11-07,544180.0
البيئة والمياه والزراعة,توريد ماء صالح للشرب لمركز الأمير سعود الفيصل لأبحاث الحياة الفطرية بالطائف,2023-11-07,544180.0
وزارة التجارة ,توريد وتركيب أثاث رفع السعة الاستيعابية – المرحلة الخامسة,2023-11-30,1599926.0
وزارة التجارة ,توريد وتركيب أثاث رفع السعة الاستيعابية – المرحلة الخامسة,2023-11-30,1599926.0
البيئة والمياه والزراعة,إنشاء سد وادي الوفيزة بمنطقة عسير,2024-01-11,10157145.0
البيئة والمياه والزراعة,إنشاء سد وادي الوفيزة بمنطقة عسير,2024-01-11,10157145.0
البيئة والمياه والزراعة,إنشاء سد وادي الوفيزة بمنطقة عسير,2024-01-11,10157145.0
البيئة والمياه والزراعة,إنشاء سد وادي الوفيزة بمنطقة عسير,2024-01-11,10157145.0
الهيئة العامة للترفيه,دعم وتطوير منصات الهيئة ,2023-11-15,3322479.96
الهيئة العامة للترفيه,دعم وتطوير منصات الهيئة ,2023-11-15,3322479.96
وزارة المالية,خدمات النقل الترددي لموظفي هيئة كفاءة الإنفاق والمشروعات الحكومية,2023-10-31,799999.52
