الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة
المديرية العامة للشؤون الصحية بمنطقة الرياض,تغيير أرضيات الفينيل بمستشفى ثادق,2021-10-07,244720.0
إدارة التعليم بمنطقة مكة المكرمة,تشغيل وصيانة وإصلاح أجهزة التبريد والتكييف والتدفئة بالمباني التعليمية بإدارة التعليم بمنطقة مكة المكرمة المجموعة الثانية,2021-07-05,5903640.0
بنك التنمية الاجتماعية,منافسة تأسيس مطبخ مجتمعي بمدينة الرياض,2021-06-20,3400000.0
المديرية العامة للشؤون الصحية بمنطقة الرياض,تأمين محطة معالجة غسيل كلوي لمستشفى الحريق العام,2021-10-07,500000.0
جامعة الطائف,تشغيل وصيانة التعليم الإلكتروني بجامعة الطائف,2021-06-06,4853000.0
إدارة التعليم بمنطقة مكة المكرمة,تشغيل وصيانة واصلاح اجهزة التبريد والتكييف والتدفئة بالمباني التعليمية بإدارة التعليم بمنطقة مكة المكرمة ( المجموعة الخامسة ),2021-07-11,5906416.56
إدارة التعليم بمنطقة مكة المكرمة,تشغيل وصيانة وإصلاح أجهزة التبريد والتكييف والتدفئة بالمباني التعليمية بإدارة التعليم بمنطقة مكة المكرمة المجموعة السادسة,2021-07-11,5812440.76
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توريد وتركيب أبواب مقاومة للحريق - المرحلة الاولى,2021-05-26,896000.0
إدارة التعليم بمنطقة مكة المكرمة,تشغيل وصيانة وإصلاح أجهزة التبريد والتكييف والتدفئة بالمباني التعليمية بإدارة التعليم بمنطقة مكة المكرمة المجموعة الرابعة,2021-07-11,5895092.97
مستشفى الملك فيصل التخصصي ومركز الأبحاث,توريد مواد ومستلزمات غذائية متنوعة لقسم التغذية ,2021-11-15,5490076.35
الهيئة العامة للجمارك,توريد وتنفيذ نظام حوكمة تطوير التطبيقات,2021-07-09,1614600.0
البرنامج الوطني لدعم ادارة المشروعات والتشغيل والصيانة في الجهات العامة (مشروعات),مشروع توفير خدمات الانترنت,2021-11-16,2626140.0
إدارة التعليم بمنطقة مكة المكرمة,تشغيل وصيانة وإصلاح أجهزة التبريد والتكييف والتدفئة بالمباني التعليمية بإدارة التعليم بمنطقة مكة المكرمة المجموعة الثالثة,2021-07-11,5903334.19
مؤسسة البريد السعودي,تأمين أجهزة ومعدات بريدية لتحسين العمليات البريدية و تجهيز مراكز المعالجة المؤقتة,2021-07-19,1628975.0
مؤسسة البريد السعودي,"تأمين سيور فرز دائرية ومستقيمة لمراكز المعالجة المؤقتة (الرياض, جدة, الدمام)",2021-08-29,3208500.0
إدارة التعليم بمحافظة المذنب,عملية تامين مستلزمات العيادات المدرسية,2021-03-07,243430.85
جامعة تبوك,تعقيم مباني ومرافق الجامعة في المدينة الجامعية بتبوك وفروع الجامعة ( ضباء - حقل - الوجه - أملج - تيماء),2021-02-08,1939515.63
مؤسسة البريد السعودي,صيانة وتشغيل ونظافة مرافق مؤسسة البريد السعودي بمنطقة مكة المكرمة,2021-07-19,39979980.0
أمانة المنطقة الشرقية,مشروع تحديث رخص الاستخدام للأنظمة والبرامج للنظم المساندة,2021-07-28,1737113.98
جامعة الباحة,انشاء مستودعات للمدينة الجامعية بجامعة الباحة,2022-06-06,6358891.65
أمانة منطقة القصيم,عقد صيانة وتشغيل مصاعد مبنى بلدية محافظة البدائع ,2021-04-05,22500.0
المؤسسة العامة للخطوط الحديدية,تأمين شحنات لحام ومستلزماتها لصيانة الخط الحديدي,2021-03-10,848886.14
جامعة الملك سعود,مشروع تأمين وتوريد نظام مراقبة وحماية أنظمة قواعد البيانات,2021-10-26,2614410.0
الهيئة العامة للطيران المدني,منافسة مشروع أجهزة وبرامج نظام التحكم للدخول على الشبكة (NAC) ونظام فك التشفير وإعادة التشفير (SSL) وموزعات الشبكة,2021-08-16,5568559.9
بنك التنمية الاجتماعية,منافسة تشغيل وإدارة مطبخ مجتمعي بمدينة الرياض ,2021-06-20,9294300.0
وزارة النقل والخدمات اللوجستية-  الديوان العام,لأعمال المتبقية لمشروع استكمالات بعض الطرق بمنطقة عسير ( المجموعة العشرون )  ,2021-11-29,103548912.25
المديرية العامة للشؤون الصحية بمنطقة عسير,توريد وتركيب وتشغيل الاحتياجات الهامة للمراكز الصحية بقطاع ظهران الجنوب,2021-10-05,1400240.0
الهيئة العامة لعقارات الدولة,خدمة الإركاب لموظفي الهيئة العامة لعقارات الدولة ,2021-04-29,18800.0
أمانة منطقة تبوك,تأجير سيارات متنوعة حسب  عرض الاسعار وجدول الكميات وكرسة الشروط والمواصفات,2021-06-02,154008.0
الهيئة العامة للجمارك,عملية مناولة جمرك منفذ الخفجي,2021-08-11,1777798.78
بلدية محافظة ابى عريش,تامين مبيدات حشرية (بلدية محافظة أبوعريش),2021-11-15,95277.5
جامعة طيبة,نقل طالبات جامعة طيبه وفروعها,2021-09-15,19659480.0
إدارة التعليم بمحافظة الرس,تاهيل مدرسة الظاهرية والمندسة الابتدائية بنين,2021-05-20,285832.5
هيئة الزكاة والدخل,اسم المنافسة: منافسة الخدمات المدارة للتطبيقات تقنية المعلومات,2021-07-14,19986389.0
صندوق تنمية الموارد البشرية,"تشغيل مراكز التأهيل والتوظيف ""طاقات 4""",2021-12-27,36755250.0
المديرية العامة للشؤون الصحية بمنطقة عسير,مشروع أعمال إنشائية لمستودع التموين الطبي بمستشفى أبها للولادة والأطفال,2021-09-20,798271.35
المديرية العامة للشؤون الصحية بمنطقة عسير,مشروع أعمال إنشائية لتطوير مركز الرعاية الصحية الأولية بسراة عبيدة حسب الهوية الجديدة بعسير,2021-11-14,2246754.71
المديرية العامة للشؤون الصحية بمنطقة عسير,مشروع أعمال إنشائية لتطوير مركز الرعاية الصحية الأولية بظهران الجنوب حسب الهوية الجديدة بعسير,2021-11-14,2417127.5
المديرية العامة للشؤون الصحية بمنطقة عسير,مشروع أعمال إنشائية لتطوير مركز الرعاية الصحية الأولية بمحايل عسير حسب الهوية الجديدة بعسير,2021-11-14,2417127.5
جامعة نجران,نظافة المدينة الجامعة وفروعها بمحافظتي يدمه وحبونا,2022-05-22,76220871.63
أمانة منطقة القصيم,تأمين وتوريد اسفلت 5000 طن بلدية محافظة البدائع ,2021-02-11,327750.0
وكالة الأنباء السعودية,التأمين الطبي لمنسوبي وكالة الانباء السعودية وعوائلهم,2021-06-13,9306570.5
صندوق تنمية الموارد البشرية,تشغيل مراكز التأهيل والتوظيف (طاقات 3),2021-12-27,46550103.0
الهيئة العامة للغذاء والدواء,تأمين قطع غيار لأجهزة ICP,2021-06-01,194558.7
معهد الادارة العامة,تقديم خدمات التأمين الطبي لمنسوبي معهد الإدارة العامة,2021-03-24,13337710.35
إدارة التعليم بمحافظة البكيرية,عملية استكمال صيانة وإصلاح وتشغيل المباني الإدارية بإدارة التعليم بالبكيرية,2021-06-27,672625.8
أمانة منطقة الرياض,صيانة شوارع وأرصفة شرق الرياض نطاق بلدية الشرق,2022-05-18,56015562.75
مؤسسة البريد السعودي,مشروع التعاقد مع وكالة دعاية وإعلان ,2021-07-19,1508073.21
أمانة منطقة تبوك,تأمين ديزل خالي من  جميع الشوائب,2021-10-27,362880.0
أمانة منطقة تبوك,تأمين بنزين 91,2021-10-27,518400.0
هيئة الهلال الأحمر السعودي,أعمال النظافة والصيانة وتامين عمال نظافة وصيانة وتحميل وتنزيل وعمال سلامة لموسم حج عام (1442 هـ) المجموعة الأولى: المراكز الاسعافية واللجان الادارية بمنطقة المشاعر المقدسة بمكة المكرمة ,2021-06-22,638546.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,تقديم خدمات الصيانة والدعم الفني للبرامج الإحترافية المختلفة,2021-08-03,333499.98
المؤسسة العامة للخطوط الحديدية,توريد وتركيب بطاريات ﻟﻨﻈﺎﻡ ﺍﻻﺗﺼﺎﻝ ﺍﻟﻬﺎﺗﻔﻲ ﺑﺎﻟﺪﻣﺎم,2021-03-10,41400.0
الهيئة العامة للأرصاد وحماية البيئة,إعداد دراسات مراقبة التلوث الضوضائي في المملكة العربية السعودية ضمن مبادرة البرنامج الوطني لمراقبة التلوث السمعي والضوئي في المدن الكبرى,2022-01-04,16792187.3
إدارة التعليم بمحافظة الليث,عملية نظافة المباني المدرسية بتعليم الليث المجموعة الثانية ,2021-10-03,6998701.41
إدارة التعليم بمحافظة الليث,عملية نظافة المباني المدرسية بتعليم الليث المجموعة الأولى ,2021-10-03,12557403.51
صندوق تنمية الموارد البشرية,تشغيل مراكز التأهيل والتوظيف (طاقات 2),2021-12-27,45734948.39
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار كهربائية لخطوط انابيب محطة الجبيل 1965521,2021-05-21,517236.7
هيئة الهلال الأحمر السعودي,تأثيث الدور الثالث بالمركز الرئيسي ,2021-04-21,1015841.0
هيئة الهلال الأحمر السعودي,تأهيل الدور الثالث بالمركز الرئيسي,2021-06-14,2922478.9
الهيئة العامة  للموانىء,منافسة أعمال الحمالة بجمرك ميناء ضبا,2022-04-10,1284019.12
الهيئة العامة للغذاء والدواء,تامين برنامج تحليل بيانات الاستهلاك الغذائي الخاص بمشروع ماذا نأكل في السعودية,2021-04-28,229815.85
مديرية الشئون الصحية بمحافظة القريات,تطوير مركز الرعاية الصحية الاولية بالعقيلة,2021-08-16,2221340.0
المؤسسة العامة للتدريب التقني والمهني,تشغيل اعمال الحراسات الأمنية في الكلية التقنية للبنين بالرس (مخصص للمنشآت الصغيرة المتوسطة المحلية فقط),2021-08-11,350020.44
المؤسسة العامة للتدريب التقني والمهني,تشغيل اعمال الحراسات الأمنية في الكلية التقنية للبنين بنجران (مخصص للمنشآت الصغيرة المتوسطة المحلية فقط),2021-07-05,353556.0
المؤسسة العامة للتدريب التقني والمهني,تشغيل اعمال الحراسات الأمنية في الكلية التقنية للبنين بجازان (مخصص للمنشآت الصغيرة المتوسطة المحلية فقط ),2021-07-26,353556.0
الهيئة العامة للمنافسة,مشروع تنفيذ نظام إدارة موارد المنظمة ERP للهيئة العامة للمنافسة,2021-04-06,2500000.0
هيئة تطوير المنطقة الشرقية,مشروع توريد وتركيب أنظمة (لإدارة الأتصالات الإدارية,2021-05-31,1960000.0
الهيئة العامة  للموانىء,توفير خدمات الصيانة والنظافة بميناء ضبا ,2022-08-15,15083239.64
أمانة محافظة الطائف,توريد وتركيب قطع غيار معدات للادارة العامة للتشغيل والصيانة ( ادارة صيانة المعدات ) ,2021-07-13,920818.8
إدارة التعليم بمحافظة النماص,عملية توريد وتركيب أنظمة أمنية للحماية من السرقة,2021-08-22,996130.0
وزارة المالية  -  الديوان العام,مشروع تطوير نظام إدارة علاقات العملاء,2021-06-21,9963669.0
المركز السعودى لكفاءة الطاقة,الصيانة والدعم الفني لأنظمة الشبكة في المركز السعودي لكفاءة الطاقة,2021-02-24,1499991.0
صندوق تنمية الموارد البشرية,تشغيل مراكز التأهيل والتوظيف (طاقات 1),2021-12-27,50890116.0
الهيئة العامة للأرصاد وحماية البيئة,منافسة دراسة هيكلة أصول الهيئة,2022-01-04,348831.8
وزارة الموارد البشرية و التنمية الاجتماعية, توفير التأمين الطبي لمتعاقدي وزارة الموارد البشرية والتنمية الاجتماعية ,2021-03-21,1851728.85
جامعة الملك خالد,مشروع الاعمال التكميلية ,2021-09-01,62411592.5
مستشفى الملك خالد التخصصي للعيون,تأمين وحدات فحص عين,2021-10-04,1128384.0
هيئة الإذاعة والتلفزيون,صيانة ونظافة مجمع الاذاعة بجدة وانظمة التكييف ,2021-08-25,5058276.15
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار محطة الشعيبة 1942912 Mech shoaiba FPD,2021-05-21,727603.0
أمانة محافظة جدة,المكافحة المتكاملة للبعوض داخل وخارج المنازل بالقطاع ‏الشمالي (بلدية ثول–بلدية ذهبان- بلدية طيبة –بلدية بريمان  ‏بلدية أبحر – بلدية أبحر الشمالية – بلدية جدة الجديدة)‏ - 16620,2021-09-30,141551799.44
أمانة محافظة جدة,المكافحة المتكاملة للبعوض داخل وخارج المنازل بالقطاع ‏الأوسط  (بلدية المطار - بلدية الصفا - بلدية العزيزية - بلدية ‏الشرفية - بلدية أبرق الرغامة - بلدية أم السلم)‏ - 16619,2021-09-30,149345164.0
المؤسسة العامة لتحلية المياه المالحة,تقديم الخدمات الميدانية لتنفيذ أعمال العمرة الشاملة لعدد ثلاث توربينات غازية بمحطات تحلية رأس الخير,2021-10-02,35350000.0
