الجهة الرئيسية,اسم المنافسة,تاريخ الترسية,قيمة الترسية
وزارة الشؤون البلدية والقروية,تنفيذ جسر ربط طريق المكرونة مع عبد الله السليمان عبر فلسطين 17183,2023-12-17,83988338.6999999
وزارة الشؤون البلدية والقروية,تنفيذ جسر ربط طريق المكرونة مع عبد الله السليمان عبر فلسطين 17183,2023-12-17,83988338.6999999
وزارة الشؤون البلدية والقروية,تنفيذ جسر ربط طريق المكرونة مع عبد الله السليمان عبر فلسطين 17183,2023-12-17,83988338.6999999
وزارة الشؤون البلدية والقروية,تنفيذ جسر ربط طريق المكرونة مع عبد الله السليمان عبر فلسطين 17183,2023-12-17,83988338.6999999
وزارة الشؤون البلدية والقروية,تنفيذ جسر ربط طريق المكرونة مع عبد الله السليمان عبر فلسطين 17183,2023-12-17,83988338.6999999
وزارة الصحة,صيانة ونظافة وتشغيل غير طبي للمراكز الصحية بقطاع بيش والدرب,2023-12-26,42477550.0
وزارة الصحة,صيانة ونظافة وتشغيل غير طبي للمراكز الصحية بالقطاع الشمالي,2023-12-08,30500000.0
وزارة الشؤون البلدية والقروية,صيانة الشوارع بنطاق بلدية شرق بريدة,2023-12-05,17351257.5
وزارة الشؤون البلدية والقروية,صيانة الشوارع بنطاق بلدية شرق بريدة,2023-12-05,17351257.5
وزارة الشؤون البلدية والقروية,صيانة الشوارع بنطاق بلدية الديرة الفرعية,2023-12-05,24570560.75
وزارة الشؤون البلدية والقروية,صيانة الشوارع بنطاق بلدية الديرة الفرعية,2023-12-05,24570560.75
وزارة الشؤون البلدية والقروية,مشروع نظافة منطقة رقم (3) لأمانة منطقة القصيم ,2024-01-08,153854544.0
وزارة الشؤون البلدية والقروية,نظافة الحرث وقراها,2023-12-11,39454200.0
وزارة الصحة,صيانة ونظافة وتشغيل غير طبي للمراكز الصحية بقطاع جازان وفرسان,2023-12-25,35750050.0
وزارة الصحة,صيانة ونظافة وتشغيل غير طبي للمراكز الصحية بقطاع جازان وفرسان,2023-12-25,35750050.0
وزارة الشؤون البلدية والقروية,مشروع تشغيل وصيانة ونظافة مباني وزارة الشؤون البلدية والقروية والإسكان بالعليا والناصرية,2023-11-21,23479279.75
وزارة الشؤون البلدية والقروية,مشروع تشغيل وصيانة ونظافة مباني وزارة الشؤون البلدية والقروية والإسكان بالعليا والناصرية,2023-11-21,23479279.75
وزارة الشؤون البلدية والقروية,مشروع تشغيل وصيانة ونظافة مباني وزارة الشؤون البلدية والقروية والإسكان بالعليا والناصرية,2023-11-21,23479279.75
وزارة الشؤون البلدية والقروية,مشروع تشغيل وصيانة ونظافة مباني وزارة الشؤون البلدية والقروية والإسكان بالعليا والناصرية,2023-11-21,23479279.75
وزارة الشؤون البلدية والقروية,مشروع تشغيل وصيانة ونظافة مباني وزارة الشؤون البلدية والقروية والإسكان بالعليا والناصرية,2023-11-21,23479279.75
وزارة الشؤون البلدية والقروية,مشروع تشغيل وصيانة ونظافة مباني وزارة الشؤون البلدية والقروية والإسكان بالعليا والناصرية,2023-11-21,23479279.75
وزارة الشؤون البلدية والقروية,مشروع تشغيل وصيانة ونظافة مباني وزارة الشؤون البلدية والقروية والإسكان بالعليا والناصرية,2023-11-21,23479279.75
الهيئة الملكية للجبيل وينبع,تــشــغــيــل وصــيــانــة مــبــانــي الأحـيــاء الـسـكـنـيـة بــمــديــنــة يــنــبــع الــصــنــاعــيــة المتابـعـة رقــم (10),2024-02-07,68875355.7
الهيئة الملكية للجبيل وينبع,تــشــغــيــل وصــيــانــة مــبــانــي الأحـيــاء الـسـكـنـيـة بــمــديــنــة يــنــبــع الــصــنــاعــيــة المتابـعـة رقــم (10),2024-02-07,68875355.7
الهيئة الملكية للجبيل وينبع,تــشــغــيــل وصــيــانــة مــبــانــي الأحـيــاء الـسـكـنـيـة بــمــديــنــة يــنــبــع الــصــنــاعــيــة المتابـعـة رقــم (10),2024-02-07,68875355.7
الهيئة الملكية للجبيل وينبع,تشغيل وصيانة أنظمة الكهرباء والإتصالات برأس الخير,2023-10-12,29999999.0
الهيئة الملكية للجبيل وينبع,تشغيل وصيانة أنظمة الكهرباء والإتصالات برأس الخير,2023-10-12,29999999.0
وزارة الشؤون البلدية والقروية,معالجة وتأهيل الطرق الرئيسية بمدينة بريدة الجزء الثاني ,2023-11-09,70186374.5
وزارة الشؤون البلدية والقروية,معالجة وتأهيل الطرق الرئيسية بمدينة بريدة الجزء الثاني ,2023-11-09,70186374.5
وزارة الشؤون البلدية والقروية,تنفيذ حلول لتصريف مياه الأمطار لمنطقة الصواري-17167,2023-10-16,774643520.150158
وزارة الشؤون البلدية والقروية,تنفيذ حلول تصريف مياه الأمطار في المنطقة (K1)-(الحزمة الأولى – الريان) - 17149,2023-10-10,59931496.8100292
وزارة الشؤون البلدية والقروية,تنفيذ حلول لتصريف مياه الأمطار للمنطقة الصالحية والرحمانية - 1748,2023-11-27,168900832.929986
وزارة الشؤون البلدية والقروية, سفلتة وارصفة وانارة للأمانة و البلديات التابعة لها (ربط طريق الكورنيش الغربي بضاحية الملك عبدالله) ( مرحلة اولي ),2024-01-25,69830875.0
وزارة الشؤون البلدية والقروية, سفلتة وارصفة وانارة للأمانة و البلديات التابعة لها (ربط طريق الكورنيش الغربي بضاحية الملك عبدالله) ( مرحلة اولي ),2024-01-25,69830875.0
وزارة الصحة,صيانة واصلاح الاجهزة والمعدات الطبية لمستشفيات والمراكز الصحية داخل الرياض التابعة لتجمع الرياض الصحي الثاني,2024-02-07,34788089.6299997
وزارة الصحة,صيانة واصلاح الاجهزة والمعدات الطبية لمستشفيات والمراكز الصحية داخل الرياض التابعة لتجمع الرياض الصحي الثاني,2024-02-07,34788089.6299997
وزارة الصحة,صيانة واصلاح الاجهزة والمعدات الطبية لمستشفيات والمراكز الصحية داخل الرياض التابعة لتجمع الرياض الصحي الثاني,2024-02-07,34788089.6299997
وزارة الصحة,صيانة واصلاح الاجهزة والمعدات الطبية لمستشفيات والمراكز الصحية داخل الرياض التابعة لتجمع الرياض الصحي الثاني,2024-02-07,34788089.6299997
وزارة الشؤون البلدية والقروية,تنفيذ حدائق متفرقة بمكة المكرمة,2023-11-21,39367030.0
وزارة الشؤون البلدية والقروية,تنفيذ حدائق متفرقة بمكة المكرمة,2023-11-21,39367030.0
وزارة الشؤون البلدية والقروية,تنفيذ حدائق متفرقة بمكة المكرمة,2023-11-21,39367030.0
وزارة الشؤون البلدية والقروية,تنفيذ حدائق متفرقة بمكة المكرمة,2023-11-21,39367030.0
وزارة الشؤون البلدية والقروية,تنفيذ حدائق متفرقة بمكة المكرمة,2023-11-21,39367030.0
وزارة الشؤون البلدية والقروية,تنفيذ حدائق متفرقة بمكة المكرمة,2023-11-21,39367030.0
وزارة الشؤون البلدية والقروية,تنفيذ حدائق متفرقة بمكة المكرمة,2023-11-21,39367030.0
